brand,model,car_condition,fuel,age,kiowatt,transmission,miles,color,doors,pogon,leather,navigation,alarm,alu_rims,digital_climate,manual_climate,parking_sensors,xenon,remote_unlock,el_r_mirror,seat_heat,panorama_roof,tempomat,abs,esp,asr,price
mercedes-benz,e model,Polovan,Dizel,l7,95-105,Automatik,l5,siva,five,2 x 2,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,Cheap
bmw,serija3 model,Polovan,Benzin,l5,85-95,Manuelni,l1,crvena,five,2 x 2,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,Cheap
volkswagen,polo model,Polovan,Benzin,l4,55-65,Manuelni,l4,crna,five,2 x 2,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,Cheap
opel,meriva model,Polovan,Dizel,l5,65-75,Manuelni,l4,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,Cheap
ford,focus model,Polovan,Dizel,l6,85-95,Manuelni,l4,siva,five,2 x 2,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Cheap
opel,corsa model,Polovan,Dizel,l4,45-55,Manuelni,l4,plava,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,Cheap
opel,corsa model,Polovan,Benzin,l6,65-75,Manuelni,l5,plava,five,2 x 2,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Cheap
opel,frontera model,Polovan,Dizel,l7,65-75,Manuelni,l5,crvena,five,4 x 4,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,Cheap
volkswagen,golf4 model,Polovan,Benzin,l6,85-95,Manuelni,l4,crna,five,4 x 4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
kia,rio model,Polovan,Benzin,l4,65-75,Manuelni,l3,crna,five,2 x 2,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,Cheap
ford,focus model,Polovan,Dizel,l5,65-75,Manuelni,l4,siva,three,2 x 2,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,Cheap
ford,focus model,Polovan,Dizel,l5,85-95,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,Cheap
renault,megane model,Polovan,Dizel,l4,65-75,Manuelni,l5,crna,five,2 x 2,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,Cheap
audi,a3 model,Polovan,Dizel,l6,95-105,Manuelni,l1,siva,three,2 x 2,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
kia,rio model,Polovan,Benzin,l4,65-75,Manuelni,l1,siva,five,2 x 2,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,Cheap
seat,toledo model,Polovan,Dizel,l6,75-85,Manuelni,l4,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,passat model,Polovan,Dizel,l6,85-95,Manuelni,l5,crna,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
mercedes-benz,a model,Polovan,Dizel,l5,65-75,Manuelni,l4,bijela,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
renault,modus model,Polovan,Dizel,l4,55-65,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,Cheap
renault,scenic model,Polovan,Dizel,l4,55-65,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
renault,scenic model,Polovan,Dizel,l4,95-105,Manuelni,l4,crna,five,2 x 2,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Cheap
mercedes-benz,a model,Polovan,Benzin,l5,75-85,Manuelni,l4,plava,five,2 x 2,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,Cheap
opel,meriva model,Polovan,Dizel,l5,65-75,Manuelni,l4,siva,five,2 x 2,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
volvo,v40 model,Polovan,Dizel,l5,85-95,Manuelni,l4,siva,five,2 x 2,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,Cheap
bmw,serija3 model,Polovan,Dizel,l5,105-125,Manuelni,l5,siva,five,2 x 2,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,Cheap
volkswagen,passat model,Polovan,Dizel,l5,95-105,Manuelni,l5,crna,five,2 x 2,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,Cheap
ford,focus-c-max model,Polovan,Dizel,l5,75-85,Manuelni,l4,siva,five,2 x 2,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,Cheap
bmw,serija3 model,Polovan,Dizel,l5,105-125,Manuelni,l5,siva,five,2 x 2,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,Cheap
audi,a6 model,Polovan,Benzin,l5,165-...,Automatik,l5,plava,five,2 x 2,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,Cheap
citroen,c3 model,Polovan,Dizel,l4,45-55,Manuelni,l5,siva,five,2 x 2,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,Cheap
ford,focus model,Polovan,Benzin,l4,85-95,Manuelni,l3,plava,five,2 x 2,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,Cheap
renault,megane model,Polovan,Dizel,l5,85-95,Manuelni,l4,crvena,five,2 x 2,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,Cheap
renault,clio model,Polovan,Dizel,l4,55-65,Manuelni,l4,crna,three,2 x 2,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,yes,Cheap
opel,corsa model,Polovan,Dizel,l4,55-65,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,Cheap
volkswagen,golf4 model,Polovan,Dizel,l5,65-75,Manuelni,l4,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
fiat,croma model,Polovan,Dizel,l4,145-165,Manuelni,l4,siva,five,2 x 2,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,Cheap
volkswagen,golf4 model,Polovan,Dizel,l5,65-75,Manuelni,l4,siva,five,2 x 2,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
volkswagen,golf4 model,Polovan,Dizel,l5,65-75,Manuelni,l5,siva,five,2 x 2,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,Cheap
volkswagen,golf4 model,Polovan,Dizel,l6,65-75,Manuelni,l5,crvena,five,2 x 2,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
volkswagen,passat model,Polovan,Dizel,l6,95-105,Manuelni,l4,crna,five,2 x 2,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,Cheap
opel,astra model,Polovan,Benzin,l4,65-75,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Cheap
fiat,panda model,Polovan,Benzin,l3,45-55,Manuelni,l2,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
fiat,panda model,Polovan,Benzin,l3,45-55,Manuelni,l1,bijela,five,2 x 2,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,Cheap
volkswagen,passat model,Polovan,Dizel,l6,95-105,Manuelni,l4,siva,five,2 x 2,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,Cheap
ford,focus model,Polovan,Dizel,l4,75-85,Manuelni,l5,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,Cheap
opel,vectra model,Polovan,Dizel,l4,105-125,Manuelni,l5,plava,five,2 x 2,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,Cheap
renault,espace model,Polovan,Dizel,l4,85-95,Manuelni,l5,crna,five,2 x 2,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,Cheap
renault,grandscenic model,Polovan,Dizel,l4,105-125,Manuelni,l4,siva,three,2 x 2,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,Cheap
volkswagen,passat model,Polovan,Dizel,l5,95-105,Manuelni,l5,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
seat,toledo model,Polovan,Dizel,l5,105-125,Manuelni,l5,crna,five,2 x 2,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,Cheap
citroen,c4 model,Polovan,Benzin,l4,75-85,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,golf4 model,Polovan,Dizel,l5,65-75,Manuelni,l4,siva,five,2 x 2,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,Cheap
mercedes-benz,e model,Polovan,Dizel,l5,145-165,Automatik,l5,crna,five,2 x 2,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,Cheap
fiat,croma model,Polovan,Dizel,l4,105-125,Manuelni,l3,siva,five,2 x 2,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,Cheap
bmw,serija3 model,Polovan,Dizel,l6,95-105,Manuelni,l5,plava,five,2 x 2,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,Cheap
volkswagen,passat model,Polovan,Dizel,l5,95-105,Manuelni,l4,siva,five,2 x 2,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,Cheap
volkswagen,golf4 model,Polovan,Dizel,l5,65-75,Manuelni,l4,plava,five,2 x 2,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,Cheap
seat,toledo model,Polovan,Dizel,l5,75-85,Manuelni,l1,siva,five,2 x 2,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,Cheap
fiat,grande-punto model,Polovan,Dizel,l4,55-65,Manuelni,l4,plava,three,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
renault,megane model,Polovan,Benzin,l4,75-85,Manuelni,l3,siva,five,2 x 2,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,Cheap
audi,a3 model,Polovan,Dizel,l5,95-105,Manuelni,l1,siva,three,2 x 2,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,Cheap
opel,astra model,Polovan,Dizel,l4,65-75,Manuelni,l4,plava,five,2 x 2,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
bmw,serija3 model,Polovan,Dizel,l5,105-125,Manuelni,l1,crna,five,2 x 2,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,Cheap
volkswagen,passat model,Polovan,Dizel,l4,65-75,Manuelni,l5,crna,five,2 x 2,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,Cheap
citroen,berlingo model,Polovan,Benzin,l5,75-85,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
volkswagen,polo model,Polovan,Dizel,l4,45-55,Manuelni,l3,plava,five,2 x 2,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
kia,rio model,Polovan,Benzin,l4,65-75,Manuelni,l2,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
volvo,c70 model,Polovan,Benzin,l6,125-145,Automatik,l5,plava,three,2 x 2,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Cheap
opel,astra model,Polovan,Dizel,l3,65-75,Manuelni,l4,srebrena,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,Cheap
audi,a4 model,Polovan,Dizel,l5,95-105,Manuelni,l4,plava,five,2 x 2,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,Cheap
renault,laguna model,Polovan,Dizel,l4,105-125,Manuelni,l4,plava,five,2 x 2,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,Cheap
mercedes-benz,clk model,Polovan,Benzin,l6,105-125,Manuelni,l4,crna,three,2 x 2,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,yes,no,Cheap
citroen,c3 model,Polovan,Dizel,l4,45-55,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,Cheap
opel,astra model,Polovan,Benzin,l4,65-75,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,Cheap
volkswagen,golf5 model,Polovan,Dizel,l5,75-85,Manuelni,l3,plava,three,2 x 2,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,Cheap
volkswagen,passat model,Polovan,Dizel,l4,65-75,Manuelni,l5,plava,five,2 x 2,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,Cheap
fiat,bravo model,Polovan,Dizel,l4,85-95,Manuelni,l4,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,Cheap
ford,mondeo model,Polovan,Dizel,l5,95-105,Automatik,l5,siva,five,2 x 2,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,Cheap
opel,zafira model,Polovan,Benzin,l4,85-95,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,polo model,Polovan,Benzin,l3,45-55,Manuelni,l3,crna,five,2 x 2,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,Cheap
opel,astra model,Polovan,Dizel,l5,75-85,Manuelni,l5,srebrena,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
fiat,panda model,Polovan,Benzin,l3,45-55,Manuelni,l2,bijela,five,4 x 4,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
fiat,panda model,Polovan,Benzin,l3,45-55,Manuelni,l2,bijela,five,4 x 4,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,Cheap
bmw,serija3 model,Polovan,Dizel,l5,85-95,Manuelni,l4,crna,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
opel,zafira model,Polovan,Dizel,l4,75-85,Manuelni,l4,srebrena,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volvo,s60 model,Polovan,Dizel,l5,105-125,Manuelni,l4,crna,five,2 x 2,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,Cheap
skoda,fabia model,Polovan,Benzin,l4,45-55,Manuelni,l2,crvena,five,2 x 2,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,Cheap
skoda,fabia model,Polovan,Benzin,l4,45-55,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Cheap
renault,clio model,Polovan,Dizel,l2,55-65,Manuelni,l4,bijela,three,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,Cheap
renault,clio model,Polovan,Dizel,l3,55-65,Manuelni,l4,bijela,three,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,Cheap
renault,clio model,Polovan,Dizel,l3,45-55,Manuelni,l4,srebrena,three,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,Cheap
renault,scenic model,Polovan,Dizel,l4,55-65,Manuelni,l4,crna,five,2 x 2,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,no,Cheap
renault,clio model,Polovan,Dizel,l3,45-55,Manuelni,l3,bijela,three,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,Cheap
